Name,Type,Location,Reservation,Coat Check,Cover,Price,Stars,URL,Review,Business Hours
Bar Vlaha,,1653 Beacon St,,,,,4.4,https://www.yelp.com/biz/bar-vlaha-brookline?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 05:00 PM - 10:00 PM; Tuesday: 05:00 PM - 10:00 PM; Wednesday: 05:00 PM - 10:00 PM; Thursday: 05:00 PM - 10:00 PM; Friday: 05:00 PM - 11:00 PM; Saturday: 10:00 AM - 03:00 PM; Saturday: 05:00 PM - 11:00 PM; Sunday: 10:00 AM - 03:00 PM; Sunday: 05:00 PM - 10:00 PM
Zo Greek,,92 State St,,,,$,4.4,https://www.yelp.com/biz/zo-greek-boston-2?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 03:00 PM; Tuesday: 11:00 AM - 03:00 PM; Wednesday: 11:00 AM - 03:00 PM; Thursday: 11:00 AM - 03:00 PM; Friday: 11:00 AM - 03:00 PM
Saloniki Greek,,316 Newbury St,,,,$$,4.0,https://www.yelp.com/biz/saloniki-greek-boston-5?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 09:00 PM; Tuesday: 11:00 AM - 09:00 PM; Wednesday: 11:00 AM - 09:00 PM; Thursday: 11:00 AM - 09:00 PM; Friday: 11:00 AM - 09:00 PM; Saturday: 11:00 AM - 09:00 PM; Sunday: 11:00 AM - 09:00 PM
Desfina Restaurant,,202 3rd St,,,,$$,3.9,https://www.yelp.com/biz/desfina-restaurant-cambridge?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 10:00 PM; Tuesday: 11:00 AM - 10:00 PM; Wednesday: 11:00 AM - 10:00 PM; Thursday: 11:00 AM - 10:00 PM; Friday: 11:00 AM - 10:00 PM; Saturday: 05:00 PM - 10:00 PM
Limani Grille,,100 Northern Ave,,,,,4.1,https://www.yelp.com/biz/limani-grille-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 12:00 PM - 10:00 PM; Tuesday: 12:00 PM - 10:00 PM; Wednesday: 12:00 PM - 10:00 PM; Thursday: 12:00 PM - 10:00 PM; Friday: 12:00 PM - 11:00 PM; Saturday: 12:00 PM - 11:00 PM; Sunday: 12:00 PM - 09:00 PM
Saloniki Greek,,4 Kilmarnock St,,,,$$,4.1,https://www.yelp.com/biz/saloniki-greek-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 09:00 PM; Tuesday: 11:00 AM - 09:00 PM; Wednesday: 11:00 AM - 09:00 PM; Thursday: 11:00 AM - 09:00 PM; Friday: 11:00 AM - 09:00 PM; Saturday: 11:00 AM - 09:00 PM; Sunday: 11:00 AM - 09:00 PM
GRECO,,80 Causeway St,,,,,3.2,https://www.yelp.com/biz/greco-boston-11?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 09:00 PM; Tuesday: 11:00 AM - 09:00 PM; Wednesday: 11:00 AM - 09:00 PM; Thursday: 11:00 AM - 09:00 PM; Friday: 11:00 AM - 09:00 PM; Saturday: 11:00 AM - 09:00 PM; Sunday: 11:00 AM - 09:00 PM
Aceituna Grill,,57 Boston Wharf Rd,,,,$$,3.8,https://www.yelp.com/biz/aceituna-grill-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 10:30 AM - 08:00 PM; Tuesday: 10:30 AM - 08:00 PM; Wednesday: 10:30 AM - 08:00 PM; Thursday: 10:30 AM - 08:00 PM; Friday: 10:30 AM - 08:00 PM; Saturday: 10:30 AM - 08:00 PM; Sunday: 12:00 PM - 07:00 PM
anoush'ella,,35 W Newton St,,,,$$,4.3,https://www.yelp.com/biz/anoushella-boston?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 09:30 PM; Tuesday: 11:00 AM - 09:30 PM; Wednesday: 11:00 AM - 09:30 PM; Thursday: 11:00 AM - 09:30 PM; Friday: 11:00 AM - 09:30 PM; Saturday: 10:00 AM - 09:30 PM; Sunday: 10:00 AM - 09:30 PM
Opa Greek Yeeros,,378 Highland Ave,,,,$,4.5,https://www.yelp.com/biz/opa-greek-yeeros-somerville?adjust_creative=MJG9nGcXziyd-cakMaW14A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MJG9nGcXziyd-cakMaW14A,,Monday: 11:00 AM - 09:00 PM; Tuesday: 11:00 AM - 09:00 PM; Wednesday: 11:00 AM - 09:00 PM; Thursday: 11:00 AM - 09:00 PM; Friday: 11:00 AM - 09:00 PM; Saturday: 11:00 AM - 09:00 PM; Sunday: 11:00 AM - 09:00 PM
