Name,Type,Location,Reservation,Coat Check,Cover,Price,Stars,Link,Reviews,Business Hours,Number of Reviews
 Kaia,Greek,South end,,,,,,https://www.kaiasouthend.com/ ,,,0
Desnuda cocina & bar,Asian Speakeasy,South end,,,,,,https://desnudacocina.com/ ,,,0
Petula's,American,South end,,,,$$,,https://www.petulasboston.com/,,,0
Reunion BBQ,Barbecue,South end,,,,,,https://www.reunionbbqboston.com/,,,0
Yunnan Kitchen,Chinese,South end,,,,,,https://www.yunnankitchensouthend.com/,,,0
Capo,Italian,Southie,Yes,,,$$-$$$,,https://www.caposouthboston.com/,,,0
Lincoln,American,Southie,Yes,,,$$-$$$,,https://www.lincolnsouthboston.com/,,,0
Publico,Latin ,Southie,,,,$$-$$$,,https://www.publicoboston.com/,,,0
Fat Baby,Asian Fusion,Southie,,,,$$,,https://fatbabysouthboston.com/,,,0
Loco,Mexican,Southie,Yes,,,$$,,https://locosouthboston.com/,,,0
Hunters,American,Southie,,,,$$-$$$,,https://www.hunterssouthboston.com,,,0
Gray's Hall,Wine Bar,Southie,,,,,,https://www.grayshall.com/,,,0
Mystique,Asian Fusion,Encore,,,,$$$$,,https://www.encorebostonharbor.com/dining-and-nightlife/dining/mystique,,,0
Oleana ,Mediterranean ,Cambridge,,,,$$$$,,https://www.oleanarestaurant.com/,,,0
Harvest,American,Cambridge,,,,$$$,,https://www.harvestcambridge.com/,,,0
Arden & Harlow,American,Cambridge,,,,$$$,,https://www.aldenharlow.com/,,,0
Gustazo,Cuban,Cambridge,,,,$$,,https://www.gustazo-cubancafe.com/cambridge/,,,0
Waypoint,Seafood,Cambridge,,,,$$$,,https://www.waypointharvard.com/,,,0
Margeaux Supper Parlor,American,Cambridge,,,,,,https://www.margeauxsupperparlor.com/ ,,,0
Sarma,Mediterranean ,Somerville ,,,,$$,,https://www.sarmarestaurant.com/,,,0
Field & Vine,American ,Somerville ,,,,$$,,https://www.fieldandvinesomerville.com/,,,0
Sarma ,Mediterranean ,Somerville ,,,,,,https://www.sarmarestaurant.com/,,,0
Salt + Stone,Seafood,Assembly Row,,,,$$,,https://saltandstoneboston.com,,,0
Casa Verde,Mexican,Jamaica Plain,,,,$$,,http://www.casaverdejp.com,,,0
Tres Gatos,Spanish Tapas,Jamaica Plain,,,,$$,,http://www.tresgatosjp.com ,,,0
Tonino,Italian,Jamaica Plain,,,,,,https://www.toninojp.com/,,,0
Rinos Place,Italian,East Boston,,,,$$,,http://rinosplace.com/,,,0
Pazza on the Porter,Italian,East Boston,,,,$$,,https://www.pazzaonporter.com/,,,0
Taquería Jalisco,Mexican,East Boston,No,,,$$,,https://instagram.com/taqueriajaliscoeb?igshid=MWI4MTIyMDE=,,,0
